"product_name","product_price","product_price_range","product_type","product_body","product_variety","product_country","product_region","product_size","product_vintage","product_closure","product_seller","product_rating"
"2023 Domaine Naturaliste Artus Chardonnay","Sale price
$55.00","$51 to $100","White","Body","Chardonnay","Australia","Margaret River","High Score","Halliday Wine Companion
Wine Pilot
The Wine Advocate
The Wine Front","95
96","Margaret River",""
"2024 Xavier Goodridge Pa Pa Pinot Noir","Sale price
$28.00","$31 to $40","","Body","Pinot Noir","Australia","","92","750ml","2024","",""
"2024 Hoddles Creek 1er Yarra Valley Chardonnay","Sale price
$65.00","$51 to $100","White","Body","Chardonnay","Australia","Yarra Valley","High Score","The Wine Front","95","Yarra Valley",""
"2025 Ochota Barrels Botanicals of the Basket Range","Sale price
$45.00","$41 to $50","Amber","Body","","Adelaide Hills","","James Suckling","94","750ml","Adelaide Hills",""
"2022 Yarra Yering Dry Red No. 1","Sale price
$150.00","","","","","","","","","","Yarra Valley",""
"2025 Clonakilla Riesling","Sale price
$33.00","$31 to $40","White","Body","Riesling","","","NSW","High Score","The Wine Front
The Real Review
Halliday Wine Companion","Canberra",""
"2023 Domaine Louis Moreau Chablis","Sale price
$50.00","$41 to $50","White","Body","Chardonnay","France","Chablis","2023","Cork","","Chablis",""
"2024 Yangarra Circle Grenache","Sale price
$24.00","$30 or Less","","Body","Grenache","Australia","McLaren Vale","Organic
Biodynamic
High Score","Halliday Wine Companion","95","McLaren Vale",""
"2022 Sato La Ferme de Sato Sur les Nuages Pinot Noir","Sale price
$75.00","$51 to $100","","Body","Pinot Noir","New Zealand","Central Otago","James Suckling","97","750ml","Central Otago",""
"2024 Man O'War Exiled Pinot Gris","Sale price
$33.00","$31 to $40","White","Body","","New Zealand","","750ml","2024","Screw Cap","Waiheke Island",""
"2024 Nanny Goat Vineyard Central Otago Pinot Noir","Sale price
$35.00","$31 to $40","","Body","Pinot Noir","New Zealand","Central Otago","750ml","2024","Screw Cap","Central Otago",""
"2022 S.C. Pannell Basso Grenache","Sale price
$27.00","$30 or Less","","Body","Grenache","Australia","McLaren Vale","Halliday Wine Companion","92","750ml","McLaren Vale",""
"2025 Ochota Barrels Mark of Cain Pinot Meunier","Sale price
$45.00","$41 to $50","","Body","Pinot Meunier","Australia","Adelaide Hills","Cult
Organic
Women in Wine
Natural/Lo-Fi","James Suckling","95","Adelaide Hills",""
"2024 Frankland Estate Riesling","Sale price
$30.00","$31 to $40","White","Body","Riesling","Australia","Great Southern","Organic","James Suckling","92","Great Southern",""
"2024 Willunga 100 Grenache","Sale price
$29.00","$30 or Less","","Body","Grenache","Australia","McLaren Vale","Women in Wine","Halliday Wine Companion
The Wine Front","93","McLaren Vale",""
"2024 Garagiste Le Stagiaire Chardonnay","Sale price
$33.00","$31 to $40","White","Body","Chardonnay","Australia","Mornington Peninsula","High Score","The Wine Front
Halliday Wine Companion","94
95","Mornington Peninsula",""
"Discover Mordrelle Wines Pack","Sale price
$219.00","$31 to $40","","","","","","","","","",""
"2024 Unico Zelo Jade & Jasper Fiano","Sale price
$23.00","$30 or Less","White","Body","Fiano","Australia","Riverland","Women in Wine","750ml","2024","Riverland",""
"2023 Clonakilla Hilltops Shiraz","Sale price
$28.00","$30 or Less","","Body","Shiraz","Australia","Hilltops","Iconic","The Wine Front
Halliday Wine Companion
The Wine Advocate","93
91
92","Hilltops",""
"2023 Bodega Garzon Albarino Reserva","Sale price
$33.00","$31 to $40","White","Body","Albarino","Uruguay","","2023","Screw Cap","","Maldonado",""
"2024 Nick O'Leary Riesling","Sale price
$25.00","$30 or Less","White","Body","Riesling","Australia","Canberra","Trophy Winner
High Score","Halliday Wine Companion","96
95","Canberra",""
"2021 Bests Great Western Cabernet Sauvignon","Sale price
$22.00","$30 or Less","","Body","Cabernet Sauvignon","Australia","","High Score","Halliday Wine Companion
The Real Review
James Suckling
The Wine Advocate","95
92
91","Great Western",""
"2025 Oliver's Taranga Small Batch Fiano","Sale price
$24.00","$30 or Less","White","Body","Fiano","Australia","McLaren Vale","Women in Wine
High Score","Halliday Wine Companion","95","McLaren Vale",""
"2024 Lambert Crudo Shiraz","Sale price
$30.00","$30 or Less","","Body","Shiraz","Australia","","14%","750ml","2024","",""
"2023 Vasse Felix Chardonnay","Sale price
$36.00","$41 to $50","White","Body","Chardonnay","Australia","Margaret River","The Real Review
James Suckling
The Wine Front","94","13%","Margaret River",""
"2023 Domaine Naturaliste Artus Chardonnay","Sale price
$55.00","$51 to $100","White","Body","Chardonnay","Australia","Margaret River","High Score","Halliday Wine Companion
Wine Pilot
The Wine Advocate
The Wine Front","95
96","Margaret River",""
"2024 Voyager Chenin Blanc","Sale price
$27.00","White","Chenin Blanc","Country","Margaret River","","","95
94","750ml","2024","Margaret River",""
"2025 Helm Premium Riesling","Sale price
$55.00","$51 to $100","White","Body","Riesling","Australia","Canberra","The Wine Front","96","11%","Canberra",""
"2024 Cirillo Vincent Grenache","Sale price
$23.00","$30 or Less","","Body","Grenache","Australia","Barossa Valley","750ml","2024","Screw Cap","Barossa Valley",""
"2024 Giant Steps Yarra Valley Pinot Noir","Sale price
$38.00","$31 to $40","","Body","Pinot Noir","Australia","Yarra Valley","Women in Wine
High Score","Halliday Wine Companion
The Wine Front","95
93","Yarra Valley",""
"2023 Jean Foillard Morgon Cote du Py","Sale price
$99.00","$101 and Above","","Body","Gamay","France","Beaujolais","Vinous","94","750ml","Beaujolais",""
"2024 Fighting Gully Road Sangiovese","Sale price
$35.00","$31 to $40","","Body","Sangiovese","Australia","Beechworth","High Score","Halliday Wine Companion","96","Beechworth",""
"2024 Dominique Portet Fontaine Cabernets","Sale price
$28.00","$30 or Less","","Body","Cabernet Sauvignon","","","VIC","Halliday Wine Companion","95","Yarra Valley",""
"2025 Nick Spencer Gundagai Rose","Sale price
$26.00","$30 or Less","Rosé","Body","Grenache","","","NSW","The Wine Front","93","Gundagai",""
"2025 Mercer Wines Bianco Vermentino","Sale price
$29.00","$30 or Less","White","Body","Vermentino","Australia","Hunter Valley","750ml","2025","Screw Cap","Hunter Valley",""
"2023 Clonakilla Shiraz Viognier","Sale price
$125.00","$101 and Above","","Body","Shiraz","Australia","Canberra","High Score
Iconic","The Real Review
Halliday Wine Companion
The Wine Front
Wine Pilot
The Weekend Australian
James Suckling
The Wine Advocate","96
95
98
97","Canberra",""
"2024 Shaw + Smith Riesling","Sale price
$35.00","$31 to $40","White","Body","Riesling","Australia","Adelaide Hills","Vegan","The Wine Front
Halliday Wine Companion
The Real Review
The Wine Advocate
Wine Pilot
James Suckling","95
93
92","Adelaide Hills",""
"2023 Domaine Naturaliste Rebus Cabernet Sauvignon","Sale price
$35.00","$31 to $40","","Body","Cabernet Sauvignon","Australia","Margaret River","The Wine Front","93
94","14%","Margaret River",""
"2024 Dune Tirari","Sale price
$24.00","$30 or Less","","Body","Negroamaro","Australia","McLaren Vale","750ml","2024","Screw Cap","McLaren Vale",""
"2024 Small Island Riesling","Sale price
$38.00","$31 to $40","White","Body","Riesling","Australia","","Halliday Wine Companion","92","12.5%","Derwent Valley",""
"2023 La Crema Monterey Chardonnay","Sale price
$35.00","$31 to $40","White","Body","Chardonnay","USA","","2023","Cork","","Monterey",""
"2025 Blind Corner Orange in Colour","Sale price
$24.00","$30 or Less","Amber","Body","","Margaret River","","12%","750ml","2025","Margaret River",""
"2022 Spinifex Esprit","Sale price
$33.00","$31 to $40","","Body","Grenache","","","SA","James Suckling
The Wine Front
Halliday Wine Companion","93
92
94","Barossa Valley",""
"2024 Ravensworth Barbera & Nebbiolo","Sale price
$29.00","$31 to $40","","Body","Nebbiolo","Australia","Hilltops","The Wine Front","92","750ml","Hilltops",""
